Dir,Time_Arr,Time_Mov,Time_Out,TIQ,TIS
NORTH,6025.151695,6050.042278,6093.764163,24.890583,68.612468
NORTH,6036.113935,6053.539715,6097.261600,17.425780,61.147665
NORTH,6073.131822,6097.261600,6141.607283,24.129778,68.475461
NORTH,6079.057418,6100.599516,6144.945199,21.542098,65.887781
SOUTH,6117.702215,6144.945199,6189.784366,27.242984,72.082151
NORTH,6101.069601,6189.784366,6233.728426,88.714765,132.658825
NORTH,6255.400953,6255.400953,6298.137242,0.000000,42.736290
NORTH,6298.504740,6298.504740,6338.949853,0.000000,40.445112
SOUTH,6313.897931,6338.949853,6380.123900,25.051921,66.225968
NORTH,6361.939632,6380.123900,6425.088041,18.184267,63.148408
SOUTH,6424.968160,6425.088041,6466.541790,0.119881,41.573630
SOUTH,6498.129616,6498.129616,6540.056097,0.000000,41.926481
NORTH,6531.554393,6540.056097,6584.619072,8.501704,53.064679
SOUTH,6567.065220,6584.619072,6625.758480,17.553852,58.693261
SOUTH,6580.980080,6587.140038,6628.279447,6.159958,47.299367
NORTH,6577.052540,6628.279447,6669.558630,51.226907,92.506090
SOUTH,6601.765259,6669.558630,6713.582190,67.793371,111.816931
NORTH,6706.050260,6713.582190,6755.812788,7.531930,49.762528
SOUTH,6687.250746,6755.812788,6798.804670,68.562042,111.553924
SOUTH,6698.619406,6758.786924,6801.778806,60.167517,103.159399
SOUTH,6743.857483,6762.268674,6805.260556,18.411191,61.403073
NORTH,6777.374806,6805.260556,6849.911882,27.885750,72.537076
NORTH,6882.120376,6882.120376,6923.924478,0.000000,41.804102
SOUTH,6930.026746,6930.026746,6970.120286,0.000000,40.093539
SOUTH,6982.921475,6982.921475,7027.783532,0.000000,44.862056
NORTH,7021.560512,7027.783532,7069.290383,6.223020,47.729872
SOUTH,7041.149103,7069.290383,7114.079348,28.141280,72.930244
SOUTH,7065.025915,7071.981887,7116.770851,6.955972,51.744936
NORTH,7030.364143,7116.770851,7161.683568,86.406709,131.319426
SOUTH,7075.006174,7161.683568,7204.583742,86.677394,129.577568
SOUTH,7131.321445,7164.743308,7207.643482,33.421863,76.322037
NORTH,7119.362027,7207.643482,7250.339335,88.281455,130.977308
NORTH,7167.658816,7211.017136,7253.712988,43.358320,86.054172
NORTH,7294.162400,7294.162400,7336.090712,0.000000,41.928312
SOUTH,7322.161210,7336.090712,7378.268971,13.929502,56.107761
NORTH,7315.555154,7378.268971,7419.140427,62.713817,103.585273
NORTH,7360.830146,7381.387459,7422.258915,20.557313,61.428769
NORTH,7371.459102,7384.065474,7424.936930,12.606372,53.477828
NORTH,7376.450346,7387.358711,7428.230167,10.908365,51.779821
NORTH,7435.289720,7435.289720,7478.674528,0.000000,43.384808
SOUTH,7469.695850,7478.674528,7519.133984,8.978678,49.438135
NORTH,7455.975913,7519.133984,7561.992195,63.158071,106.016282
NORTH,7491.552651,7521.899739,7564.757950,30.347089,73.205300
